"エネミーID","エネミー名","画像ID","登場ステージID","並び順","ボスフラグ","AI難易度","AI性格","チップレベル","チップID","チップ名","ブレードID","ウェイトID","ソールID","必要勝利数","キャラクター感","メモ"
"e011","テッペイ","テッペイ","st003","1","0","3","攻撃","3","c009","ブラスト・ワイバーン","b302_f","w302_a","s302_f","3","【一人称：俺】【二人称：あんた】【語尾：〜だぜ！/〜いこう！/〜だな！】爽やかでフレンドリーな豪快ナイスガイ口調。","自信家なオラオラ系。ヤンキーではない。いいやつ。"
"e012","カレン","カレン","st003","2","0","3","防御","3","c006","アイアン・ギガント","b303_e","w303_f","s303_e","3","【一人称：私】【二人称：あなた】【語尾：〜かしら/〜わね/〜わ】「ふふっ」と微笑む包容力のある優しいお姉さん口調。","面倒見の良いお姉さんタイプ。安定感の高いプレイ。"
"e013","サイカ","サイカ","st003","3","0","3","攻撃","3","c003","チェイン・ケルベロス","b306_w","w306_a","s306_w","3","【一人称：私】【二人称：貴方】【語尾：〜ですね/〜ですわ/〜ます】丁寧な言葉遣いで清楚な大和撫子お嬢様口調。","良家のお嬢様だが確かな実力を兼ね備える。大和撫子。"
"e014","トウヤ","トウヤ","st003","4","0","3","バランス","3","c007","ソニック・イーグル","b301_n","w301_a","s301_n","3","【一人称：俺】【二人称：お前】【語尾：〜だ/〜ぜ！/〜だな】最初はすかしているが熱くなると言葉遣いが荒くなる口調。","正統派ライバル。クールを自称するが、その実は熱血タイプ。"
"e015","レン","レン","st003","5","1","4","カウンター","4","c017","テンペスト・グリフォン","b304_w","w304_e","s304_n","3","【一人称：俺】【二人称：お前】【語尾：〜だ/〜か/……フッ】言葉数が少なく重厚で威厳のあるカリスマ口調（カイザー亮風）。","エリアボスとしての風格を持つ本格的な実力派。イメージはカイザー亮。"
"e016","メイ","メイ","st004","1","0","4","バランス","4","c004","アビス・クラーケン","b404_f","w404_f","s404_f","3","【一人称：私】【二人称：あなた】【語尾：〜です！/〜ます！/〜なさい！】ハキハキと礼儀正しく凛とした真面目な委員長口調。","委員長タイプ。まじめな性格だが実力は確かなもの。"
"e017","カズマ","カズマ","st004","2","0","4","防御","4","c006","アイアン・ギガント","b403_w","w403_e","s403_w","3","【一人称：私】【二人称：貴殿】【語尾：〜だ/〜だな/〜で見切る】落ち着いた佇まいで丁寧かつ古風な達人口調。","古豪の実力者。相手の攻撃を受けて返す安定感の高いプレイスタイル。"
"e018","シン","シン","st004","3","0","4","攻撃","4","c010","ルイン・デスサイズ","b406_a","w406_a","s406_a","3","【一人称：オレ】【二人称：キミ】【語尾：〜じゃん？/〜だろ？/〜ね！】ファンを意識したチャラめでスタイリッシュなスター口調。","日本が誇るスピードスター。ルックスからファンも多い。"
"e019","ナノ","ナノ","st004","4","0","4","カウンター","4","c011","ハンティング・フェンリル","b401_n","w401_e","s401_n","3","【一人称：ボク】【二人称：キミ】【語尾：〜だぞ！/〜だよ！/〜ね！】ポップでテンションが高くキャッチーな配信者風口調（ナンジャモ風）。","ノルウェーからの帰国子女。イメージはナンジャモ。"
"e020","アーサー","アーサー","st004","5","1","5","攻撃","5","c019","レオ・ゴールドファング","b405_f","w405_a","s405_f","3","【一人称：俺】【二人称：きみ】【語尾：〜だ/〜ぜ！/〜しようぜ！】爽やかで熱く圧倒的自信を持つ王道天才ライバル口調。","アメリカからの超天才留学生チャンプ。日本王者を賭けたライバル。"
"e021","ラシード","ラシード","st005","1","0","5","防御","5","c013","カース・スフィンクス","b503_e","w503_e","s503_e","3","【一人称：私】【二人称：貴方】【語尾：〜でしょう/〜です/〜だな】神聖で静かな誇りを持つ落ち着いた気品ある貴公子口調。","ピラミッドの如き絶対防壁。エジプト代表の若き貴公子。"
"e022","シャルロット","シャルロット","st005","2","0","5","カウンター","5","c014","ノーブル・リリィ","b506_w","w506_n","s506_w","3","【一人称：私】【二人称：あなた】【語尾：〜ね/〜わ/〜かしら？】凛と洗練された気高き天才フェンサー口調。","華麗な戦闘スタイルとそのビジュアルが大人気なフランス代表の美少女。"
"e023","カルロス","カルロス","st005","3","0","5","防御","5","c015","アサルト・コンドル","b501_a","w501_f","s501_a","3","【一人称：俺】【二人称：あんた】【語尾：〜だぜ！/〜かい？/〜しよう！】「ビート」「リズム」を交える情熱的で陽気な口調。","リズミカルな攻防を繰り広げる。ブラジル代表の陽気ないいやつ。"
"e024","リー","リー","st005","4","0","5","攻撃","5","c016","ヴァンダル・タイガー","b502_f","w502_a","s502_f","3","【一人称：私】【二人称：貴殿】【語尾：〜だ/〜である/〜みよ】相手に敬意を払い静かな闘志を燃やすストイックな武人口調。","ストイックな性格だが鋭い攻撃を繰り出してくる中国代表のファイター。"
"e025","ユリアン","ユリアン","st005","5","1","6","バランス","5","c018","グラビティ・フェニックス","b504_n","w504_w","s504_n","3","【一人称：私】【二人称：君】【語尾：〜だ/〜である/〜だな】一切の無駄を削ぎ落とした冷徹なインテリ・精密機械口調。","精密機械と評されるドイツ代表のキャプテン。まじめなクール王子。"
"e026","タイラー","タイラー","st006","1","0","5","攻撃","5","c008","シャドウ・スペクター","b603_w","w603_e","s603_w","3","【一人称：俺】【二人称：あんた】【語尾：〜だ/〜ぜ/〜みな】無骨だが温かみのある頼もしいアメリカの兄貴分口調。","アメリカ代表をまとめる精神的支柱。とにかくいいやつ。"
"e027","ジョナサン","ジョナサン","st006","2","0","5","回避","5","c008","シャドウ・スペクター","b606_a","w606_a","s606_a","3","【一人称：俺】【二人称：きみ】【語尾：〜だぜ！/〜かい？/〜ね！】フランクで軽快にバトルを楽しむ陽キャラ口調。","アメリカ代表の陽キャラ。チャラいが実力はホンモノ。"
"e028","ディラン","ディラン","st006","3","0","5","カウンター","5","c008","シャドウ・スペクター","b602_f","w602_a","s602_f","3","【一人称：俺】【二人称：てめえ】【語尾：〜だ！/〜ぜ！/〜みろ！】荒々しく狂暴な煽り型のパワーファイター口調。","アメリカ代表の狂犬。かなりオラオラ系のパワーファイター。"
"e029","クロエ","クロエ","st006","4","0","5","バランス","5","c012","ファントム・ヴァルキリー","b601_e","w601_f","s601_n","3","【一人称：私】【二人称：あなた】【語尾：〜だよっ！/〜だからね！/〜じゃない！】強がりつつも一生懸命で可憐な等身大のライバル口調。","アメリカ代表をまとめる副キャプテン。かわいいタイプだが性格は凛々しい。"
"e030","アーサー","アーサー（ステージ6）","st006","5","1","6","攻撃","5","c019","レオ・ゴールドファング","b609_n","w609_n","s609_n","3","【一人称：俺】【二人称：きみ】【語尾：〜だ！/〜ぜ！/〜しようぜ！】貫禄とバトルへの歓喜に満ちた、熱き世界の絶対王者口調。","アメリカのキャプテンとして世界王者を賭けて戦う最強のライバル。"
"e035","店長","店長（ボス）","st007","5","1","6","バランス","5","c020","カイザー・ジェネシス","b610_n","w610_n","s610_n","1","【一人称：僕➔俺】【二人称：君➔きみ】【語尾：〜かい？（日常）➔〜だ！/〜ぜ！（覚醒）】日常は温和、戦闘覚醒時は熱く燃え上がる伝説の王者口調。","伝説のスピンキング「神代 創（はじめ）」。裏ボス"
